"date","Maine/Androscoggin","Maine/Aroostook","Maine/Cumberland","Maine/Franklin","Maine/Hancock","Maine/Kennebec","Maine/Knox","Maine/Lincoln","Maine/Out of ME","Maine/Oxford","Maine/Penobscot","Maine/Piscataquis","Maine/Sagadahoc","Maine/Somerset","Maine/Unassigned","Maine/Waldo","Maine/Washington","Maine/York"
"2020-06-20","   .67 %","   .00 %","  1.19 %","   .00 %","  7.69 %","  -.72 %","  4.35 %","   .00 %","","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .22 %"
"2020-06-21","   .89 %"," 54.55 %","   .39 %","   .00 %","   .00 %","   .73 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","-50.00 %","   .00 %","   .00 %","   .66 %"
"2020-06-22","   .22 %"," 11.76 %","   .13 %","   .00 %","  7.14 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .98 %","   .00 %","  3.33 %","   .00 %"," ##.## %","   .00 %","   .00 %","  1.08 %"
"2020-06-23","   .22 %"," 10.53 %","   .78 %","   .00 %","   .00 %","  2.17 %","   .00 %","   .00 %","","   .00 %","   .97 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.29 %"
"2020-06-24","   .00 %","  4.76 %","   .77 %","   .00 %","   .00 %","  -.71 %","   .00 %","   .00 %","","  2.94 %","   .00 %","   .00 %","  3.23 %","   .00 %","   .00 %","   .00 %","   .00 %","  1.48 %"
"2020-06-25","  1.32 %"," -4.55 %","  2.68 %","   .00 %","   .00 %","  1.43 %","   .00 %","   .00 %","","   .00 %","   .96 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .63 %"
"2020-06-26","   .87 %","   .00 %","  1.18 %","   .00 %","  6.67 %","   .70 %","   .00 %","  4.76 %","","   .00 %","  -.95 %","   .00 %","   .00 %","  3.85 %"," ##.## %","   .00 %","   .00 %","   .41 %"
"2020-06-27","  1.08 %","  9.52 %","  1.78 %","  2.63 %","   .00 %","   .00 %","   .00 %","  4.55 %","","   .00 %","   .96 %"," 50.00 %","  6.25 %","   .00 %","-50.00 %","   .00 %","   .00 %","  2.69 %"
"2020-06-28","  1.49 %","   .00 %","  1.57 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 66.67 %","   .00 %","   .00 %","   .40 %"
"2020-06-29","   .00 %"," -4.35 %","   .89 %","  5.13 %","   .00 %","  2.10 %","   .00 %","   .00 %","","  5.71 %","   .95 %","   .00 %","   .00 %","  3.70 %","   .00 %","   .00 %","   .00 %","  1.00 %"
