"date","Kerala/Alappuzha","Kerala/Ernakulam","Kerala/Idukki","Kerala/KAsaragod","Kerala/Kannur","Kerala/Kasaragod","Kerala/Kollam","Kerala/Kottayam","Kerala/Kozhikode","Kerala/Malappuram","Kerala/Other State","Kerala/Palakkad","Kerala/Pathanamthitta","Kerala/Thiruvananthapuram","Kerala/Thrissur","Kerala/Wayanad","Kerala/idukki"
"2020-07-30"," 44.74 %","-59.04 %","-82.35 %",""," -7.14 %","-42.86 %","-73.81 %","   .00 %","-37.31 %","-63.22 %","","-91.84 %","  9.26 %","-67.14 %"," ##.## %","-93.02 %",""
"2020-07-31","-36.36 %"," ##.## %"," ##.## %","","-64.10 %"," 85.71 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %",""," ##.## %"," ##.## %"," ##.## %","-27.71 %"," ##.## %",""
"2020-08-01"," 91.43 %","-55.30 %","-76.27 %","","-64.29 %"," ##.## %","-33.96 %","-47.19 %"," 13.10 %"," 88.00 %","","-43.37 %","-34.62 %","-19.06 %"," 26.67 %","-62.90 %",""
"2020-08-02","-43.28 %"," ##.## %"," ##.## %",""," ##.## %","-26.14 %"," 97.14 %"," 48.94 %","-47.37 %","-10.64 %","","-19.15 %","-70.59 %"," 45.56 %","-23.68 %","-58.70 %",""
"2020-08-03"," ##.## %","-17.19 %","-40.48 %",""," ##.## %","-41.59 %","-17.39 %","-50.00 %","-34.00 %","-32.54 %",""," 55.26 %"," 44.00 %","-45.62 %"," 46.55 %"," 63.16 %",""
"2020-08-04"," 24.75 %"," 27.36 %","","","   .00 %"," 37.88 %","-47.37 %","-34.29 %"," ##.## %"," 54.12 %","","-15.25 %","-11.11 %"," 18.05 %","-15.29 %","-45.16 %",""
"2020-08-05","-14.29 %","-11.11 %","   .00 %",""," 64.86 %"," 40.66 %","   .00 %"," ##.## %","-59.79 %"," 27.48 %","","-18.00 %"," 15.62 %"," 13.22 %"," 19.44 %","-17.65 %",""
"2020-08-06"," -8.33 %","-39.17 %"," 48.72 %","","-45.90 %"," 19.53 %","  3.33 %","-21.57 %"," ##.## %","-22.75 %",""," ##.## %","-10.81 %","-20.07 %","-13.95 %"," ##.## %",""
"2020-08-07","-38.38 %"," 12.33 %","-60.34 %","","-60.61 %","  9.80 %"," 16.13 %"," -7.50 %","-14.37 %"," 10.85 %",""," -9.56 %"," 18.18 %"," 31.96 %","-55.41 %"," 19.57 %",""
"2020-08-08"," ##.## %"," 23.17 %"," 78.26 %",""," ##.## %","-56.55 %"," 13.89 %","-59.46 %"," 16.11 %","-20.28 %","","-68.29 %"," -2.56 %"," 67.82 %"," 93.94 %","-81.82 %",""
"2020-08-09","-34.91 %","-46.53 %","-58.54 %","","-28.07 %","-23.29 %"," ##.## %"," ##.## %","-60.12 %"," 49.12 %",""," ##.## %","-21.05 %","-39.79 %","-62.50 %"," ##.## %",""
"2020-08-10","-72.73 %"," 87.04 %","  5.88 %",""," 53.66 %"," ##.## %","-61.32 %","-71.22 %"," -4.35 %"," 50.00 %",""," 88.46 %","-86.67 %","-31.51 %"," 66.67 %"," 32.00 %",""
"2020-08-11"," ##.## %"," 31.68 %","-77.78 %","","-52.38 %","   .68 %","-39.02 %","-40.00 %"," ##.## %"," -5.10 %",""," -4.08 %"," ##.## %"," 48.50 %","-20.00 %","-45.45 %",""
"2020-08-12","-19.18 %"," -9.02 %"," ##.## %","   .00 %","  3.33 %","-53.74 %","-80.00 %"," ##.## %","-41.14 %","  7.85 %","","-42.55 %"," -5.00 %","-10.44 %","-40.62 %","-33.33 %",""
"2020-08-13","-38.98 %"," -4.96 %","-26.19 %","","-12.90 %"," 16.18 %"," ##.## %","-30.26 %","  5.38 %","-22.61 %",""," ##.## %"," ##.## %"," 63.16 %"," ##.## %"," ##.## %",""
"2020-08-14"," 56.94 %","  -.87 %"," 87.10 %",""," ##.## %","-37.97 %","  1.35 %"," 90.57 %","  1.02 %"," -1.98 %","","-10.89 %","-46.67 %","-28.57 %","  6.67 %"," ##.## %",""
"2020-08-15","  4.42 %"," -7.02 %","-46.55 %","","-45.26 %"," 65.31 %"," 21.33 %","-61.39 %"," 52.53 %"," 82.83 %","","-58.89 %"," 22.50 %","  3.55 %","  6.25 %","-15.79 %",""
